name	group	day	location	trt	window	trt_window
d14_cc_ctrl_061	d14_cc_ctrl	14	cc	ctrl	early	early_ctrl
d14_cc_ctrl_062	d14_cc_ctrl	14	cc	ctrl	early	early_ctrl
d14_cc_ctrl_063	d14_cc_ctrl	14	cc	ctrl	early	early_ctrl
d14_cc_ctrl_064	d14_cc_ctrl	14	cc	ctrl	early	early_ctrl
d14_cc_ctrl_065	d14_cc_ctrl	14	cc	ctrl	early	early_ctrl
d14_cc_ctrl_066	d14_cc_ctrl	14	cc	ctrl	early	early_ctrl
d14_cc_ctrl_067	d14_cc_ctrl	14	cc	ctrl	early	early_ctrl
d14_cc_ctrl_068	d14_cc_ctrl	14	cc	ctrl	early	early_ctrl
d14_cc_ctrl_069	d14_cc_ctrl	14	cc	ctrl	early	early_ctrl
d14_cc_ctrl_070	d14_cc_ctrl	14	cc	ctrl	early	early_ctrl
d14_cc_sub_071	d14_cc_sub	14	cc	sub	early	early_sub
d14_cc_sub_072	d14_cc_sub	14	cc	sub	early	early_sub
d14_cc_sub_073	d14_cc_sub	14	cc	sub	early	early_sub
d14_cc_sub_074	d14_cc_sub	14	cc	sub	early	early_sub
d14_cc_sub_075	d14_cc_sub	14	cc	sub	early	early_sub
d14_cc_sub_076	d14_cc_sub	14	cc	sub	early	early_sub
d14_cc_sub_077	d14_cc_sub	14	cc	sub	early	early_sub
d14_cc_sub_078	d14_cc_sub	14	cc	sub	early	early_sub
d14_cc_sub_079	d14_cc_sub	14	cc	sub	early	early_sub
d14_cc_sub_080	d14_cc_sub	14	cc	sub	early	early_sub
d14_cc_ther_081	d14_cc_ther	14	cc	ther	early	early_ther
d14_cc_ther_082	d14_cc_ther	14	cc	ther	early	early_ther
d14_cc_ther_083	d14_cc_ther	14	cc	ther	early	early_ther
d14_cc_ther_084	d14_cc_ther	14	cc	ther	early	early_ther
d14_cc_ther_085	d14_cc_ther	14	cc	ther	early	early_ther
d14_cc_ther_086	d14_cc_ther	14	cc	ther	early	early_ther
d14_cc_ther_087	d14_cc_ther	14	cc	ther	early	early_ther
d14_cc_ther_088	d14_cc_ther	14	cc	ther	early	early_ther
d14_cc_ther_089	d14_cc_ther	14	cc	ther	early	early_ther
d14_cc_ther_090	d14_cc_ther	14	cc	ther	early	early_ther
d14_ic_ctrl_061	d14_ic_ctrl	14	ic	ctrl	early	early_ctrl
d14_ic_ctrl_062	d14_ic_ctrl	14	ic	ctrl	early	early_ctrl
d14_ic_ctrl_063	d14_ic_ctrl	14	ic	ctrl	early	early_ctrl
d14_ic_ctrl_064	d14_ic_ctrl	14	ic	ctrl	early	early_ctrl
d14_ic_ctrl_065	d14_ic_ctrl	14	ic	ctrl	early	early_ctrl
d14_ic_ctrl_066	d14_ic_ctrl	14	ic	ctrl	early	early_ctrl
d14_ic_ctrl_067	d14_ic_ctrl	14	ic	ctrl	early	early_ctrl
d14_ic_ctrl_068	d14_ic_ctrl	14	ic	ctrl	early	early_ctrl
d14_ic_ctrl_069	d14_ic_ctrl	14	ic	ctrl	early	early_ctrl
d14_ic_ctrl_070	d14_ic_ctrl	14	ic	ctrl	early	early_ctrl
d14_ic_sub_071	d14_ic_sub	14	ic	sub	early	early_sub
d14_ic_sub_072	d14_ic_sub	14	ic	sub	early	early_sub
d14_ic_sub_073	d14_ic_sub	14	ic	sub	early	early_sub
d14_ic_sub_074	d14_ic_sub	14	ic	sub	early	early_sub
d14_ic_sub_075	d14_ic_sub	14	ic	sub	early	early_sub
d14_ic_sub_076	d14_ic_sub	14	ic	sub	early	early_sub
d14_ic_sub_077	d14_ic_sub	14	ic	sub	early	early_sub
d14_ic_sub_078	d14_ic_sub	14	ic	sub	early	early_sub
d14_ic_sub_079	d14_ic_sub	14	ic	sub	early	early_sub
d14_ic_sub_080	d14_ic_sub	14	ic	sub	early	early_sub
d14_ic_ther_081	d14_ic_ther	14	ic	ther	early	early_ther
d14_ic_ther_082	d14_ic_ther	14	ic	ther	early	early_ther
d14_ic_ther_083	d14_ic_ther	14	ic	ther	early	early_ther
d14_ic_ther_084	d14_ic_ther	14	ic	ther	early	early_ther
d14_ic_ther_085	d14_ic_ther	14	ic	ther	early	early_ther
d14_ic_ther_086	d14_ic_ther	14	ic	ther	early	early_ther
d14_ic_ther_087	d14_ic_ther	14	ic	ther	early	early_ther
d14_ic_ther_088	d14_ic_ther	14	ic	ther	early	early_ther
d14_ic_ther_089	d14_ic_ther	14	ic	ther	early	early_ther
d14_ic_ther_090	d14_ic_ther	14	ic	ther	early	early_ther
d14_jc_ctrl_061	d14_jc_ctrl	14	jc	ctrl	early	early_ctrl
d14_jc_ctrl_062	d14_jc_ctrl	14	jc	ctrl	early	early_ctrl
d14_jc_ctrl_063	d14_jc_ctrl	14	jc	ctrl	early	early_ctrl
d14_jc_ctrl_064	d14_jc_ctrl	14	jc	ctrl	early	early_ctrl
d14_jc_ctrl_065	d14_jc_ctrl	14	jc	ctrl	early	early_ctrl
d14_jc_ctrl_066	d14_jc_ctrl	14	jc	ctrl	early	early_ctrl
